1	1	Mercury	*	87.97	0	0.3870	1
2	1	Venus	*	224.98	0	0.7230	1
3	1	Earth	*	365.25	0	1.0000	1
4	1	Mars	*	686.76	0	1.5240	1
5	1	Jupiter	*	4334.82	0	5.2030	2
6	1	Saturn	*	10757.41	0	9.5370	2
7	1	Uranus	*	30702.00	1781	19.1890	3
8	1	Neptine	*	60227.00	1846	30.0700	3
9	1	Pluto	*	90613.00	1930	39.4820	4
10	1	Eris	*	205132.00	2003	68.0710	4
11	2	b	*	3.24	2012	0.0400	1
12	3	b	*	2502.00	2000	3.3900	2
13	3	c	Unconfirmed	102270.00	0	40.0000	3
14	4	b	*	61.12	1998	0.2083	2
15	4	c	Unconfirmed	30.09	2000	0.1296	2
16	4	d	*	1.94	2005	0.0208	2
17	4	e	*	124.26	2010	0.3343	3
18	5	b	*	5.37	2005	0.0410	3
19	5	c	*	12.93	2005	0.0730	1
20	5	d	*	66.80	2005	0.2200	1
21	5	e	*	3.35	2005	0.0280	1
22	6	d	*	91.61	2013	0.2760	1
23	6	e	*	62.24	2013	0.2130	1
24	6	f	*	39.03	2013	0.1560	1
25	6	g	*	256.20	2013	0.5490	1
26	1	Ceres	*	1682.00		801	2.7653	4
27	1	Makemake	*	113113.5	2005	45.7900	4
28	7	e	*	38.140	2014	0.1635	3
29	8	e	*	4.69	2007	0.0390	3
